ID,Produto,Data de Fabricação,Data Entrega,Tempo entrega,Status,Motivo devolução,Tempo Resolução,Nível de Satisfação
0001,Sofá,01/01/2020,09/01/2020,8,Aceito,,,4
0002,Quadro decorativo,02/01/2020,04/01/2020,2,Aceito,,,5
0003,Mesa de jantar,03/01/2020,06/01/2020,3,Rejeitado,Danificado durante o transporte,5,2
0004,Estante,03/01/2020,05/01/2020,2,Aceito,,,5
0005,Armário,03/01/2020,07/01/2020,4,Aceito,,,5
0006,Cadeira de escritório,03/01/2020,08/01/2020,5,Aceito,,,3
0007,Cama,04/01/2020,06/01/2020,2,Aceito,,,3
0008,Armário,04/01/2020,09/01/2020,5,Rejeitado,Defeito no produto,2,1
0009,Estante,04/01/2020,07/01/2020,3,Aceito,,,5
0010,Mesa de jantar,05/01/2020,09/01/2020,4,Rejeitado,Defeito no produto,1,1
0011,Quadro decorativo,05/01/2020,08/01/2020,3,Aceito,,,5
0012,Armário,05/01/2020,09/01/2020,4,Aceito,,,3
0013,Estante,05/01/2020,10/01/2020,5,Aceito,,,3
0014,Cadeira de escritório,06/01/2020,10/01/2020,4,Aceito,,,5
0015,Sofá,06/01/2020,09/01/2020,3,Rejeitado,Danificado durante o transporte,1,2
0016,Armário,06/01/2020,12/01/2020,6,Aceito,,,5
0017,Mesa de jantar,06/01/2020,12/01/2020,6,Aceito,,,3
0018,Quadro decorativo,06/01/2020,07/01/2020,1,Aceito,,,3
0019,Tapete,07/01/2020,10/01/2020,3,Aceito,,,5
0020,Quadro decorativo,07/01/2020,11/01/2020,4,Aceito,,,3
0021,Armário,08/01/2020,13/01/2020,5,Aceito,,,3
0022,Quadro decorativo,08/01/2020,14/01/2020,6,Rejeitado,Defeito no produto,3,2
0023,Cama,09/01/2020,13/01/2020,4,Aceito,,,3
0024,Cama,09/01/2020,12/01/2020,3,Aceito,,,5
0025,Armário,09/01/2020,12/01/2020,3,Aceito,,,3
0026,Tapete,09/01/2020,11/01/2020,2,Aceito,,,5
0027,Cama,09/01/2020,11/01/2020,2,Rejeitado,Insatisfação com Qualidade,2,2
0028,Luminária,09/01/2020,11/01/2020,2,Aceito,,,3
0029,Mesa de jantar,09/01/2020,11/01/2020,2,Aceito,,,5
0030,Estante,10/01/2020,13/01/2020,3,Rejeitado,Insatisfação com Qualidade,6,2
0031,Cortina,10/01/2020,14/01/2020,4,Aceito,,,3
0032,Sofá,11/01/2020,18/01/2020,7,Aceito,,,5
0033,Estante,11/01/2020,14/01/2020,3,Aceito,,,3
0034,Quadro decorativo,12/01/2020,15/01/2020,3,Aceito,,,4
0035,Estante,12/01/2020,14/01/2020,2,Aceito,,,3
0036,Armário,12/01/2020,18/01/2020,6,Aceito,,,4
0037,Tapete,13/01/2020,21/01/2020,8,Aceito,,,3
0038,Tapete,13/01/2020,15/01/2020,2,Aceito,,,3
0039,Cama,13/01/2020,18/01/2020,5,Aceito,,,5
0040,Mesa de jantar,13/01/2020,16/01/2020,3,Rejeitado,Danificado durante o transporte,4,2
0041,Quadro decorativo,14/01/2020,22/01/2020,8,Aceito,,,3
0042,Cadeira de escritório,14/01/2020,17/01/2020,3,Aceito,,,3
0043,Cortina,14/01/2020,18/01/2020,4,Aceito,,,4
0044,Luminária,15/01/2020,21/01/2020,6,Rejeitado,Danificado durante o transporte,6,2
0045,Sofá,15/01/2020,18/01/2020,3,Aceito,,,3
0046,Luminária,15/01/2020,22/01/2020,7,Rejeitado,Insatisfação com Qualidade,6,2
